,Año,Trimestre,Alquiler mensual en soles corrientes,Distrito,Superficie,Número de habitaciones,Número de baños,Número de garages,Años de antigüedad
192,2010,2,2251.016779055231,Magdalena,90.0,3.0,2.5,1.0,1.0
193,2010,2,2301.039374145347,Magdalena,94.0,3.0,2.0,1.0,1.0
194,2010,2,4545.813333333333,Miraflores,93.0,2.0,3.0,1.0,19.0
195,2010,2,2841.133333333333,Miraflores,130.0,3.0,2.0,1.0,13.0
196,2010,2,4545.813333333333,Miraflores,140.0,3.0,3.0,2.0,4.0
197,2010,2,4261.7,Miraflores,120.0,3.0,3.0,0.0,9.0
198,2010,2,3693.473333333333,Miraflores,100.0,2.0,2.0,0.0,9.0
199,2010,2,4261.7,Miraflores,120.0,3.0,3.0,0.0,9.0
200,2010,2,3693.473333333333,Miraflores,100.0,2.0,2.0,0.0,9.0
201,2010,2,3409.3599999999997,Miraflores,80.0,1.0,1.0,0.0,9.0
202,2010,2,3409.3599999999997,Miraflores,80.0,1.0,1.0,0.0,9.0
203,2010,2,3693.473333333333,Miraflores,95.0,1.0,1.5,1.0,20.0
204,2010,2,3409.3599999999997,Miraflores,90.0,3.0,2.5,1.0,17.0
205,2010,2,4545.813333333333,Miraflores,123.0,3.0,2.0,1.0,10.0
206,2010,2,2130.85,Miraflores,70.0,1.0,1.0,1.0,8.0
207,2010,2,3409.3599999999997,Miraflores,97.0,1.0,1.0,2.0,1.0
208,2010,2,3125.2466666666664,Miraflores,110.0,2.0,2.0,1.0,10.0
209,2010,2,2272.9066666666663,Miraflores,105.0,2.0,2.0,1.0,4.0
210,2010,2,3125.2466666666664,Miraflores,75.0,2.0,2.5,1.0,7.0
211,2010,2,4261.7,Miraflores,120.0,3.0,2.5,1.0,13.0
212,2010,2,720.325369297674,Pueblo Libre,70.0,2.0,1.0,0.0,17.0
213,2010,2,450.20335581104626,Pueblo Libre,60.0,1.0,1.0,1.0,9.0
214,2010,2,450.20335581104626,Pueblo Libre,50.0,1.0,1.0,0.0,17.0
215,2010,2,450.20335581104626,Pueblo Libre,65.0,1.0,1.0,0.0,15.0
216,2010,2,400.1807607209299,Pueblo Libre,70.0,2.0,1.0,0.0,20.0
217,2010,2,350.15816563081376,Pueblo Libre,60.0,1.0,1.0,0.0,16.0
218,2010,2,800.3615214418598,Pueblo Libre,62.0,2.0,1.0,0.0,15.0
219,2010,2,550.2485459912788,Pueblo Libre,69.0,2.0,1.0,1.0,5.0
220,2010,2,900.4067116220925,Pueblo Libre,100.0,3.0,2.0,0.0,15.0
221,2010,2,1846.7366666666665,San Borja,100.0,3.0,3.0,2.0,2.0
222,2010,2,1846.7366666666665,San Borja,105.0,3.0,3.0,2.0,7.0
223,2010,2,2272.9066666666663,San Borja,120.0,3.0,2.0,1.0,18.0
224,2010,2,11319.0752,San Borja,332.0,6.0,4.0,0.0,1.0
225,2010,2,3693.473333333333,San Isidro,85.0,3.0,2.5,1.0,15.0
226,2010,2,3267.303333333333,San Isidro,150.0,3.0,1.5,1.0,23.0
227,2010,2,5114.04,San Isidro,220.0,3.0,2.5,2.0,20.0
228,2010,2,4545.813333333333,San Isidro,180.0,3.0,2.5,1.0,15.0
229,2010,2,3551.4166666666665,San Isidro,140.0,3.0,2.0,1.0,12.0
230,2010,2,2841.133333333333,San Isidro,150.0,3.0,2.0,1.0,23.0
231,2010,2,1633.6516666666664,San Isidro,50.0,1.0,1.0,1.0,16.0
232,2010,2,4261.7,San Isidro,170.0,3.0,2.0,1.0,21.0
233,2010,2,800.3615214418598,San Miguel,70.0,2.0,1.0,0.0,9.0
234,2010,2,1200.54228216279,San Miguel,85.0,2.0,2.0,0.0,1.0
235,2010,2,1440.650738595348,San Miguel,60.0,1.0,1.0,0.0,15.0
236,2010,2,1050.4744968924413,San Miguel,70.0,3.0,1.0,0.0,14.0
237,2010,2,730.3298883156972,San Miguel,70.0,1.0,1.0,0.0,1.0
238,2010,2,450.20335581104626,San Miguel,110.0,2.0,1.0,0.0,20.0
239,2010,2,800.3615214418598,San Miguel,98.0,3.0,2.0,1.0,16.0
240,2010,2,3369.584133333333,Surco,165.0,3.0,4.0,2.0,0.0
241,2010,2,4829.926666666666,Surco,185.0,3.0,4.0,2.0,8.0
242,2010,2,2690.5532666666663,Surco,147.0,4.0,4.0,1.0,0.0
243,2010,2,2414.963333333333,Surco,100.0,3.0,1.0,0.0,4.0
244,2010,2,1326.8092666666666,Surco,87.0,3.0,2.0,1.0,0.0
245,2010,2,2130.85,Surco,280.0,2.0,2.5,1.0,7.0
246,2010,2,1846.7366666666665,Surco,240.0,3.0,4.0,1.0,5.0
247,2010,2,5391.713231418029,Barranco,187.0,3.0,2.5,2.0,9.0
248,2010,2,5192.020148772916,Barranco,200.0,3.0,3.5,2.0,1.0
249,2010,2,4493.094359515025,Barranco,155.0,3.0,3.0,2.0,20.0
250,2010,2,898.6188719030049,Barranco,49.0,1.0,1.0,0.0,13.0
251,2010,2,1420.8162830199733,Jesús María,100.0,3.0,2.5,1.0,21.0
252,2010,2,2336.409066947813,Jesús María,83.0,2.0,1.0,1.0,5.0
253,2010,2,2336.409066947813,Jesús María,83.0,2.0,2.0,1.0,5.0
254,2010,2,2845.6264276928487,Jesús María,120.0,3.0,3.0,1.0,5.0
255,2010,2,2699.0766666666664,La Molina,150.0,4.0,3.5,2.0,10.0
256,2010,2,8523.4,La Molina,147.5,5.0,3.5,5.0,5.0
257,2010,2,3835.5299999999997,La Molina,96.0,3.0,2.0,3.0,4.0
258,2010,2,449.30943595150245,Lince,60.0,1.0,1.0,0.0,20.0
259,2010,2,429.3401276869912,Lince,50.0,1.0,1.0,0.0,20.0
260,2010,2,848.6956012417268,Lince,75.0,2.0,1.0,0.0,14.0
261,2010,2,1947.0075557898438,Magdalena,110.0,3.0,2.5,1.0,1.0
262,2010,2,2396.316991741346,Magdalena,90.0,3.0,2.0,0.0,1.0
263,2010,2,2396.316991741346,Magdalena,90.0,3.0,2.0,0.0,1.0
264,2010,2,1198.158495870673,Magdalena,80.0,2.0,2.0,0.0,17.0
265,2010,2,2396.316991741346,Magdalena,90.0,3.0,2.0,0.0,1.0
266,2010,2,4261.7,Miraflores,120.0,3.0,3.0,0.0,9.0
267,2010,2,3693.473333333333,Miraflores,100.0,2.0,2.0,0.0,9.0
268,2010,2,3693.473333333333,Miraflores,100.0,2.0,2.0,0.0,9.0
269,2010,2,3409.3599999999997,Miraflores,80.0,1.0,1.0,0.0,9.0
270,2010,2,4545.813333333333,Miraflores,194.0,3.0,4.0,0.0,7.0
271,2010,2,3125.2466666666664,Miraflores,110.0,2.0,2.0,1.0,13.0
272,2010,2,3125.2466666666664,Miraflores,198.0,3.0,3.0,1.0,41.0
273,2010,2,4261.7,Miraflores,215.0,3.0,2.0,1.0,15.0
274,2010,2,2414.963333333333,Miraflores,50.0,1.0,1.0,1.0,17.0
275,2010,2,1846.7366666666665,Miraflores,80.0,2.0,3.0,1.0,19.0
276,2010,2,2272.9066666666663,Miraflores,40.0,1.0,1.0,1.0,7.0
277,2010,2,3409.3599999999997,Miraflores,96.0,2.0,2.0,1.0,3.0
278,2010,2,1704.6799999999998,Miraflores,105.0,2.0,1.0,0.0,35.0
279,2010,2,3125.2466666666664,Miraflores,140.0,2.0,2.0,0.0,26.0
280,2010,2,3125.2466666666664,Miraflores,114.0,2.0,3.5,0.0,3.0
281,2010,2,2841.133333333333,Miraflores,135.0,3.0,2.5,2.0,2.0
282,2010,2,2841.133333333333,Miraflores,130.0,3.0,2.0,1.0,16.0
283,2010,2,1397.8515785157851,Pueblo Libre,110.0,3.0,2.0,1.0,19.0
284,2010,2,299.53962396766826,Pueblo Libre,60.0,1.0,1.0,0.0,16.0
285,2010,2,449.30943595150245,Pueblo Libre,50.0,1.0,1.0,0.0,19.0
286,2010,2,539.1713231418029,Pueblo Libre,65.0,1.0,1.0,0.0,23.0
287,2010,2,1198.158495870673,Pueblo Libre,70.0,2.0,2.0,1.0,21.0
288,2010,2,2699.0766666666664,San Borja,185.0,4.0,4.0,1.0,5.0
289,2010,2,1704.6799999999998,San Borja,158.0,3.0,2.0,1.0,5.0
290,2010,2,1846.7366666666665,San Borja,100.0,3.0,3.0,2.0,2.0
291,2010,2,2272.9066666666663,San Borja,138.0,3.0,4.0,2.0,12.0
292,2010,2,1988.793333333333,San Isidro,74.0,1.0,1.0,1.0,16.0
293,2010,2,1988.793333333333,San Isidro,60.0,1.0,1.0,1.0,3.0
294,2010,2,3409.3599999999997,San Isidro,148.0,2.0,2.5,2.0,13.0
295,2010,2,3409.3599999999997,San Isidro,220.0,3.0,4.5,1.0,23.0
296,2010,2,4545.813333333333,San Isidro,160.0,3.0,2.5,2.0,25.0
297,2010,2,3551.4166666666665,San Isidro,180.0,3.0,4.5,1.0,17.0
298,2010,2,1420.5666666666666,San Isidro,79.0,3.0,1.0,1.0,24.0
299,2010,2,2699.0766666666664,San Isidro,130.0,4.0,2.0,1.0,11.0
300,2010,2,4829.926666666666,San Isidro,185.0,3.0,3.0,1.0,1.0
301,2010,2,599.0792479353365,San Miguel,67.0,2.0,1.0,0.0,18.0
302,2010,2,718.8950975224038,San Miguel,80.0,2.0,2.0,1.0,17.0
303,2010,2,599.0792479353365,San Miguel,50.0,1.0,1.0,0.0,16.0
304,2010,2,898.6188719030049,San Miguel,60.0,1.0,1.0,0.0,3.0
305,2010,2,1797.2377438060098,San Miguel,100.0,4.0,2.0,0.0,18.0
306,2010,2,449.30943595150245,San Miguel,60.0,1.0,1.0,1.0,23.0
307,2010,2,748.8490599191707,San Miguel,60.0,1.0,1.0,0.0,23.0
308,2010,2,1797.2377438060098,San Miguel,90.0,3.0,2.0,1.0,17.0
309,2010,2,798.7723305804486,San Miguel,90.0,2.0,1.0,0.0,21.0
310,2010,2,848.6956012417268,San Miguel,95.0,2.0,1.0,1.0,13.0
311,2010,2,2414.963333333333,Surco,126.0,3.0,3.0,2.0,8.0
312,2010,2,2272.9066666666663,Surco,162.0,3.0,3.0,1.0,5.0
313,2010,2,3409.3599999999997,Surco,180.0,3.0,3.0,2.0,13.0
314,2010,2,3977.586666666666,Surco,190.0,3.0,3.0,2.0,10.0
315,2010,2,3136.6112,Surco,140.0,3.0,3.0,2.0,10.0
316,2010,2,3136.6112,Surco,223.0,3.0,3.0,2.0,10.0
317,2010,2,2690.5532666666663,Surco,147.0,4.0,4.0,1.0,14.0
318,2010,2,1697.3912024834535,Barranco,170.0,3.0,2.5,1.0,14.0
319,2010,2,4393.247818192468,Barranco,160.0,3.0,2.0,2.0,9.0
320,2010,2,1797.2377438060098,Barranco,80.0,1.0,2.0,1.0,23.0
321,2010,2,2695.8566157090145,Barranco,135.0,3.0,2.0,1.0,12.0
322,2010,2,2845.6264276928487,Jesús María,120.0,3.0,3.0,1.0,5.0
323,2010,2,2336.409066947813,Jesús María,83.0,2.0,1.0,1.0,5.0
324,2010,2,2336.409066947813,Jesús María,83.0,2.0,2.0,1.0,5.0
325,2010,2,2272.9066666666663,La Molina,150.0,3.0,2.5,2.0,10.0
326,2010,2,4687.87,La Molina,170.0,3.0,2.0,0.0,1.0
327,2010,2,1221.6873333333333,La Molina,96.0,3.0,2.0,1.0,15.0
328,2010,2,1897.0842851285656,Lince,110.0,4.0,2.0,1.0,18.0
329,2010,2,1857.1456685995433,Lince,105.0,4.0,3.0,1.0,2.0
330,2010,2,599.0792479353365,Lince,120.0,2.0,1.0,1.0,19.0
331,2010,2,2984.410623967586,Lince,60.0,1.0,1.0,0.0,18.0
332,2010,2,2036.8694429801444,Magdalena,100.0,3.0,3.0,1.0,1.0
333,2010,2,1996.930826451122,Magdalena,105.0,3.0,2.5,1.0,21.0
